"area_id","room_id","vnum","name","description","sector_type","room_flags","0_to_room","0_exit_info","0_key","0_keyword","1_to_room","1_exit_info","1_key","1_keyword","2_to_room","2_exit_info","2_key","2_keyword","3_to_room","3_exit_info","3_key","3_keyword","4_to_room","4_exit_info","4_key","4_keyword","5_to_room","5_exit_info","5_key","5_keyword","cabal","owner"
"0","0","1","The Void","You are floating in nothing.
","1","12","0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"0","1","2","Limbo","You are floating in a formless void, detached from all sensation of physical
matter, surrounded by swirling glowing light, which fades into the relative
darkness around you without any trace of edges or shadow.
   There is a \"No Tipping\" notice pinned to the darkness.
","1","12","0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","-1",,"0","0","0",,"0",
"0","2","3","Death Row","Welcome to Death Row. You await judgment, and possibly punishment, by the
Immortals. Keep quiet, and your punishment may be reduced.
","7","13115404","3","0","-1",,"3","0","-1",,"3","0","-1",,"3","0","-1",,"0","0","0",,"0","0","0",,"0",
"0","3","4","The Zombie Pen","This extremely strange-looking room seems to contain dozens of zombies and
other charmed creatures penned up like livestock. Zombies of dead dragons
stand mindlessly next to towering fire elementals. In one corner, you see a
couple pigs in a pen that seem rather out of place. What a horrible, horrible
place.
","1","12","0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"0","4","5","The Ward Room","Screw around here and die.","1","5267980","0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"1","5","100","Before A Large Altar","This poorly lit room is fairly plain, with a floor of smooth stone.  There is
but one thing of interest.
","7","13631492","0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"2","6","111","A Quiet Path Along the River","Thick trunks and branches alive with brightly colored leaves make the
river barely visible from the seclusion of the trail.  Between branches
and leaves, a cloudy fall sky peers down, keeping a silent watch over
its earthly children.  Now and then the dark, fierce water of the river
can be spotted as it rushes on its chosen course.  The trail takes a
slight incline before stopping at a break in the treeline.
","3","262144","112","0","0",,"113","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"2","7","112","On a Large Rock in the River","The smooth, granite rock has been beaten down by the eternal passage
of the river, yet rises far enough above the water level to provide a
place of meditation.  Though the dark waters course past with a fierce
and angry passion, the river brings solace to those who come in search
of answers.  A slight breeze brings the scent of autumn, chilled and
refreshing.
","3","262148","0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"2","8","113","A Path Through the Grove","Colorful leaves hiss in protest as the chilled fingers of the autumn
wind plucks them from their homes in the treetops.  The sound of swiftly
moving water dances on the breeze as well, as it winds around the trunks
of the tower oak trees.  Crisp grass peeks through a blanket of orange,
red and golden leaves, its own green color paled by the cooler weather.
","3","262144","0","0","0",,"0","0","0",,"114","0","0",,"111","0","0",,"0","0","0",,"0","0","0",,"0",
"2","9","114","A Forest of Eternal Autumn","A perfectly detailed, painted statue of the Goddess Ilanya stands on
a pedestal in the center of the room.  The floor and ceiling take on a
silvery liquid appearance but are completely solid to the touch.  No
candles or torches shed light in this silver sanctuary yet the source
must reside somewhere as you see actual beams being reflected from one
surface to the next.  A slight, chilling breeze ruffles your clothing.
","3","262144","113","0","0",,"117","0","0",,"116","0","0",,"115","0","0",,"0","0","0",,"0","0","0",,"0",
"2","10","115","A Peaceful Clearing","Compared to the glaring brightness of the rest of the shrine, this
place is a pit of blackness.  Try as you might, your eyes refuse to
adjust to the surroundings.  By feeling along the walls you can find
that the room is circular and empty with the exception a pit in the
center.  The rim of the pit feels warm to the touch.
","3","262144","0","0","0",,"114","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"2","11","116","Before a Great Oak Tree","A large, ornate throne made of silver and ivory looms down from a
raised platform at the far end of this lengthy room.  A red velvet
carpet runs from one end and stops at the foot of the throne.  Some
soft pillows rest luxuriously in the throne itself.  A candelabra
set with white candles burns on either side of the throne.
","3","262144","114","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"2","12","117","A Lapse in Time","DESC
","3","0","0","0","0",,"118","0","0",,"0","0","0",,"114","0","0",,"0","0","0",,"0","0","0",,"0",
"2","13","118","A Secluded Path","DESC
","3","0","0","0","0",,"0","0","0",,"0","0","0",,"117","0","0",,"0","0","0",,"0","0","0",,"0",
"2","14","119","In the Sheltering Arms of a Great Oak Tree","DESC
","3","4","0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"3","15","120","A Roaring Cavern","The sound of the ocean beating up against the rocky walls of this cavern
echoes almost unbearably loudly into the depths.  A fine mist of salty water
drifts through the cavern, covering the dark rock with a damp, granular
film.  To the east, little other than darkness is visible, while back to the
west, you can return to the sea.  
","7","12582920","0","0","0",,"14299","0","0",,"0","0","0",,"121","0","0",,"0","0","0",,"0","0","0",,"0",
"3","16","121","A Subterranean Courtyard","The roaring of the water is still incredibly loud here.  Flickering light
emanates from two massive stone torches at the bottom of a stairwell of dark
gray marble leading up to a large structure, filling this place with an
almost warm glow.  A series of huge pillars hold up the roof of the
building, of which's depth is impossible to discern, as it is set into the
northern wall.  
","7","12582920","122","0","0",,"120","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"3","17","122","The Grand Foyer of the Palace","This foyer is absolutely huge.  Seven flickering chandeliers are hung
from strategic points on the ceiling, so that the entire room is lit.  The
floor is made up of the same dark marble that made up the outside of the
building, however, in the center of the room is a large symbol composed of
many different colors of marble.  Exits lead in all directions.  
","7","12582920","123","0","0",,"128","0","0",,"121","0","0",,"127","0","0",,"0","0","0",,"0","0","0",,"0",
"3","18","123","A Narrow Hallway","The walls of this hallway are white, covered with decorative velvet
drapes of deep purple.  Small walnut tables line the walls between the
drapes, each with a silver candelabra stocked with white candles.  A
tapestry covers the western wall.  To the north, the hallway leads into a
dimly lit chamber, while to the south it opens back out into the foyer.  
","7","12582920","124","0","0",,"0","0","0",,"122","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"3","19","124","A Circular Chamber","This room is a perfectly round circle.  It spirals down into darkness
toward the center, which serves as a sort of staircase, shaped of concentric
circles that slowly get lower.  A flickering light can be seen at the
bottom.  A thick ledge along the wall leads around the abyss, allowing one
to look at the various pictures, symbols and plaques that have been painted
on the walls in a muralistic fashion, one fading gradually into another. 
The circular wall has been segmented into four large murals, each with its
own plaque.  
","7","12582920","0","0","0",,"0","0","0",,"123","0","0",,"0","0","0",,"0","0","0",,"125","0","0",,"0",
"3","20","125","Before a Large Door","The walls are completely devoid of any markings, and the only source of
light here is that of a two candelabras that have been attached to the
pitch-black wall on either side of a door carved of dark walnut.  High
above, you can barely see the dim lighting of the circular chamber that
preceeded this one.  The only thing of note in this room is an open tome on
a bookstand set into an alcove in the southern wall.  
","7","12582920","126","17","0","carved walnut door","0","0","0",,"0","0","0",,"0","0","0",,"124","0","0",,"0","0","0",,"0",
"3","21","126","The Chamber of Enlightenment","This chamber of dark marble is cold, drafty and the scent of rock lingers
in the air.  A bizarre statue of a goat-headed man on one knee leans toward
the southern door, its snout pointing downward with its mouth slightly open
and its arms out forward, each serving as a torch.  Dozens of candles
surround it, and their warm, flickering light off of the dark gray, polished
marble makes the room seem almost alive.  The circular symbol maks yet
another appearance here on the floor beneath the statue.  
","7","13115400","0","0","0",,"0","0","0",,"125","1","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"3","22","127","An Elegant Lounge","A fireplace has been set into the northern wall, and couches and pillows
of plush materials have been arranged for use of guests of this shrine's
Lord.  A temperate red carpet covers the floor, with a black mandala in the
center of the room.  Ornate tables have been arranged with all sorts of
drinks and gourmet foods, as gifts to his favored.  
","7","13107208","0","0","0",,"122","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
"3","23","128","The Hall of Wrath","The white walls of this hall are covered with pictures and tapestries of
slaughter and suffering, along with ancient weapons that are only useful as
decorations now, but still retain their violent memories.  To the north lies
a sealed door.
","7","13107208","0","0","0",,"0","0","0",,"0","0","0",,"122","0","0",,"0","0","0",,"0","0","0",,"0",
"3","24","129","A Dark Clearing","Darkness fills the air.  Tendrils of violet mist and hazy light swirl
through the air, a low rumbling noise echoing softly through the cavernous
infinity that you've found yourself within.  A single tree stands alone,
just in front of you, and tiny specks of sky-blue light waft out from the
tree like so much dust as a warm breeze softly shakes its leaves.  There is
no apparent way out.  As you step from where you've found yourself, the
darkness becomes more and more palpable, almost crushing you should you try
to wander too far.  
","7","13107204","0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0","0","0",,"0",
