;unique;unique;unique;unique; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;human;human;human;human; 1; 2048; 0; 0; 0; 0; 0; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;dwarf;dwarf;dwarf;dwarf; 1; 2048; 33554432; 0; 0; 67584; 0; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;duergar;duergar;duergar;duergar; 1; 2048; 33554432; 0; 0; 16; 262144; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;elf;elf;elf;elf; 1; 2048; 33554432; 0; 0; 32770; 33554432; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;drow;drow;drow;drow; 1; 2048; 33554432; 0; 0; 32770; 8388608; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;celestial;celestial;celestial;celestial; 1; 2048; 0; 0; 0; 8200; 4096; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;planar;planar;planar;planar; 1; 2048; 0; 0; 0; 520; 67584; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;abyss;abyss;abyss;abyss; 1; 2048; 0; 0; 0; 4232; 41216; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;sidhe;sidhe;sidhe;sidhe; 1; 2048; 524288; 0; 0; 256; 16; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;halfling;halfling;halfling;halfling; 1; 2048; 32768; 0; 0; 0; 16; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;imp;imp;imp;imp; 1; 2048; 524288; 0; 0; 4; 512; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;minotaur;minotaur;minotaur;minotaur; 1; 2048; 0; 0; 0; 256; 128; 2101377; 4196351; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;avian;avian;avian;avian; 0; 0; 524288; 0; 0; 0; 131584; 2101377; 34815; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;bat;bat;bat;bat; 0; 0; 34078720; 160; 0; 0; 262144; 2097217; 34493; 0; 0; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;bear;bear;bear;bear; 0; 0; 0; 160; 0; 272; 262144; 2097217; 3147453; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;beholder;beholder;beholder;beholder; 0; 2048; 34078720; 0; 67272704; 8; 0; 132; 16782336; 0; 0; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;cat;cat;cat;cat; 0; 0; 33554432; 160; 0; 0; 0; 2097217; 3212989; 0; 4; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;centaur;centaur;centaur;centaur; 0; 2048; 0; 0; 0; 18; 32768; 2101377; 2047; 2; 4; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;centipede;centipede;centipede;centipede; 0; 0; 33554432; 0; 0; 288; 16; 16451; 1029; 0; 20; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;demon;demon;demon;demon; 0; 2048; 33554432; 8228; 67175424; 4224; 0; 2101377; 16779263; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;dog;dog;dog;dog; 0; 0; 0; 128; 0; 0; 0; 2097217; 3147453; 0; 4; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;dragon;dragon;dragon;dragon; 0; 2048; 34078720; 4096; 0; 18; 0; 33554561; 8471593; 0; 4; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;fido;fido;fido;fido; 0; 0; 0; 128; 0; 0; 4; 2097219; 2164413; 0; 4; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;fish;fish;fish;fish; 0; 0; 134217728; 32; 0; 3; 0; 134225985; 8471593; 0; 0; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;fox;fox;fox;fox; 0; 0; 33554432; 160; 0; 0; 0; 2097217; 2164413; 0; 4; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;goblin;goblin;goblin;goblin; 0; 0; 33554432; 0; 0; 65536; 4; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;grimalkin;grimalkin;grimalkin;grimalkin; 0; 0; 33554432; 0; 0; 262148; 131200; 2101377; 2047; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;hobgoblin;hobgoblin;hobgoblin;hobgoblin; 0; 0; 33554432; 0; 0; 67584; 0; 2047; 16779263; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;insect;insect;insect;insect; 0; 0; 0; 0; 0; 2048; 128; 16385; 1063; 0; 6; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
;kobold;kobold;kobold;kobold; 0; 0; 33554432; 0; 0; 2048; 4; 2101379; 67583; 2; 2; 0; 0; 0; 0; 0; 25; 25; 25; 25; 25;
